Age,DailyRate,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Attrition_Yes,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative
30,1427,2,1,1,198,2,35,2,1,4,2720,0,13,80,0,6,3,3,5,1,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
41,857,10,3,1,199,4,91,2,4,1,17181,4,13,80,1,21,2,2,7,7,7,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
41,933,9,4,1,200,3,94,3,1,1,2238,2,21,80,1,7,2,3,5,1,4,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
19,1181,3,1,1,201,2,79,3,1,2,1483,1,14,80,0,1,3,3,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
40,1395,26,3,1,202,2,54,3,2,2,5605,1,11,80,1,20,2,3,20,2,13,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
35,662,1,5,1,204,3,94,3,3,2,7295,1,13,80,2,10,3,3,10,0,6,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
53,1436,6,2,1,205,2,34,3,2,3,2306,2,20,80,1,13,3,1,7,4,5,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
45,194,9,3,1,206,2,60,3,2,2,2348,8,18,80,1,20,2,1,17,0,15,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
32,967,8,3,1,207,2,43,3,3,4,8998,1,14,80,0,9,2,3,9,3,7,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
29,1496,1,1,1,208,4,41,3,2,3,4319,1,13,80,1,10,1,3,10,0,9,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
51,1169,7,4,1,211,2,34,2,2,3,6132,2,17,80,0,10,2,3,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
58,1145,9,3,1,214,2,75,2,1,2,3346,4,20,80,1,9,3,2,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
40,630,4,4,1,215,3,67,2,3,4,10855,7,11,80,1,15,2,2,12,2,11,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
34,303,2,4,1,216,3,75,3,1,3,2231,6,18,80,1,6,3,3,4,1,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
22,1256,19,1,1,217,3,80,3,1,4,2323,1,24,80,2,2,6,3,2,2,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
27,691,9,3,1,218,4,57,3,1,2,2024,6,18,80,1,6,1,1,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
28,440,21,3,1,221,3,42,3,1,4,2713,1,11,80,1,5,2,1,5,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
57,334,24,2,1,223,3,83,4,3,4,9439,3,16,80,1,12,2,1,5,1,4,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
27,1450,3,3,1,224,3,79,2,1,3,2566,1,15,80,1,1,2,2,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
50,1452,11,3,1,226,3,53,3,5,2,19926,3,15,80,0,21,5,3,5,4,4,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
41,465,14,3,1,227,1,56,3,1,3,2451,4,12,80,1,13,2,3,9,1,8,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
30,1339,5,3,1,228,2,41,3,3,4,9419,2,12,80,1,12,2,3,10,7,4,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
38,702,1,4,1,230,1,59,2,2,4,8686,4,22,80,0,12,2,4,8,0,7,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
32,120,6,5,1,231,3,43,3,1,3,3038,3,20,80,0,8,2,3,5,1,4,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
27,1157,17,3,1,233,3,51,3,1,2,3058,0,16,80,1,6,3,2,5,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
19,602,1,1,1,235,3,100,1,1,1,2325,0,21,80,0,1,5,4,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
36,1480,3,2,1,238,4,30,3,1,2,2088,4,12,80,0,13,3,2,8,7,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
30,111,9,3,1,239,3,66,3,2,1,3072,1,11,80,2,12,4,3,12,6,10,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
45,1268,4,2,1,240,3,30,3,2,1,5006,4,11,80,1,9,3,4,5,0,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
56,713,8,3,1,241,3,67,3,1,1,4257,4,18,80,1,19,3,3,2,2,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
33,134,2,3,1,242,3,90,3,1,4,2500,0,14,80,0,4,2,4,3,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
19,303,2,3,1,243,2,47,2,1,4,1102,1,22,80,0,1,3,2,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
46,526,1,2,1,244,2,92,3,3,1,10453,1,25,80,3,24,2,3,24,15,7,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
38,1380,9,2,1,245,3,75,3,1,4,2288,1,12,80,0,2,3,3,2,2,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
31,140,12,1,1,246,3,95,3,1,4,3929,8,23,80,1,7,0,3,4,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
34,629,27,2,1,247,4,95,3,1,2,2311,2,15,80,0,9,3,3,3,1,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
41,1356,20,2,1,248,2,70,3,1,2,3140,1,22,80,0,4,5,2,4,0,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
50,328,1,3,1,249,3,86,2,1,3,3690,2,15,80,1,5,2,2,3,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
53,1084,13,2,1,250,4,57,4,2,1,4450,1,11,80,2,5,3,3,4,1,3,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
33,931,14,3,1,252,4,72,3,1,2,2756,1,13,80,1,8,5,3,8,1,6,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
40,989,4,1,1,253,4,46,3,5,3,19033,1,14,80,1,21,2,3,20,9,9,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
55,692,14,4,1,254,3,61,4,5,2,18722,8,11,80,0,36,3,3,24,2,15,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
34,1069,2,1,1,256,4,45,2,2,3,9547,1,17,80,0,10,2,2,10,1,9,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
51,313,3,3,1,258,4,98,3,4,2,13734,3,18,80,0,21,6,3,7,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
52,699,1,4,1,259,3,65,2,5,3,19999,0,14,80,1,34,5,3,33,11,9,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
27,894,9,3,1,260,4,99,3,1,2,2279,1,16,80,0,7,2,2,7,0,3,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
35,556,23,2,1,261,2,50,2,2,3,5916,3,13,80,0,8,1,3,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
43,1344,7,3,1,262,4,37,4,1,4,2089,4,14,80,3,7,3,4,5,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
45,1195,2,2,1,264,1,65,2,4,4,16792,9,23,80,1,22,1,3,20,11,8,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
37,290,21,3,1,267,2,65,4,1,1,3564,1,12,80,1,8,3,2,8,1,7,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
35,138,2,3,1,269,2,37,3,2,2,4425,5,11,80,0,10,5,3,6,1,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
42,926,21,2,1,270,3,36,3,2,3,5265,2,16,80,1,11,5,3,5,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
38,1261,2,4,1,271,4,88,3,2,3,6553,9,14,80,0,14,3,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
38,1084,29,3,1,273,4,54,3,2,4,6261,3,18,80,1,9,3,1,7,1,7,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
27,472,1,1,1,274,3,60,2,2,1,4298,5,19,80,1,6,1,3,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
49,1002,18,4,1,275,4,92,3,2,4,6804,1,15,80,2,7,0,3,7,1,7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
34,878,10,4,1,277,4,43,3,1,3,3815,1,17,80,1,5,4,4,5,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
40,905,19,2,1,281,3,99,3,2,4,2741,8,15,80,1,15,2,4,7,3,7,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
38,1180,29,1,1,282,2,70,3,2,1,6673,7,19,80,0,17,2,3,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
29,121,27,3,1,283,2,35,3,3,4,7639,1,22,80,3,10,3,2,10,1,9,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
22,1136,5,3,1,284,4,60,4,1,2,2328,1,16,80,1,4,2,2,4,2,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
36,635,18,1,1,286,2,73,3,1,4,2153,1,13,80,0,8,2,3,8,1,7,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
40,1151,9,5,1,287,4,63,2,2,4,4876,9,14,80,1,5,5,1,3,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
46,644,1,4,1,288,4,97,3,3,1,9396,7,16,80,1,17,3,3,4,0,3,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
32,1045,4,4,1,291,4,32,1,3,4,10400,1,11,80,0,14,2,2,14,9,8,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
30,829,1,1,1,292,3,88,2,3,3,8474,1,22,80,0,12,2,3,11,5,8,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
27,1242,20,3,1,293,4,90,3,2,3,9981,1,14,80,0,7,2,3,7,0,7,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
51,1469,8,4,1,296,2,81,2,3,2,12490,5,16,80,2,16,5,1,10,4,7,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
30,1005,3,3,1,297,4,88,3,1,1,2657,5,11,80,0,8,5,3,5,0,4,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
41,896,6,3,1,298,4,75,3,3,4,13591,3,18,80,0,16,3,3,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
30,334,26,4,1,299,3,52,2,2,1,6696,5,15,80,0,9,5,2,6,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
29,992,1,3,1,300,3,85,3,1,3,2058,0,14,80,0,7,1,2,6,1,5,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
45,1052,6,3,1,302,4,57,2,3,4,8865,6,12,80,0,23,2,3,19,12,8,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
54,1147,3,3,1,303,4,52,3,2,1,5940,2,14,80,1,16,4,3,6,0,5,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
36,1396,5,2,1,304,4,62,3,2,2,5914,8,16,80,0,16,3,4,13,3,7,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
33,147,4,4,1,305,3,47,2,1,2,2622,6,21,80,0,7,3,3,3,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
37,663,11,3,1,306,2,47,3,3,4,12185,1,14,80,3,10,1,3,10,0,7,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
38,119,3,3,1,307,1,76,3,3,3,10609,0,12,80,2,17,6,2,16,5,13,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
31,979,1,4,1,308,3,90,1,2,3,4345,0,12,80,1,6,2,3,5,1,4,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
59,142,3,3,1,309,3,70,2,1,4,2177,3,17,80,1,7,6,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
37,319,4,4,1,311,1,41,3,1,4,2793,4,17,80,1,13,2,3,9,5,8,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
29,1413,1,1,1,312,2,42,3,3,4,7918,1,14,80,1,11,5,3,11,4,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
35,944,1,3,1,314,3,92,3,3,3,8789,1,14,80,0,10,3,4,10,0,8,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
29,896,18,1,1,315,3,86,2,1,4,2389,1,13,80,0,4,3,2,4,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
52,1323,2,3,1,316,3,89,2,1,4,3212,7,15,80,0,6,3,2,2,2,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
42,532,4,2,1,319,3,58,3,5,4,19232,1,11,80,0,22,3,3,22,11,15,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
59,818,6,2,1,321,2,52,3,1,3,2267,8,17,80,0,7,2,2,2,2,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
50,854,1,4,1,323,4,68,3,5,4,19517,3,11,80,1,32,3,2,7,0,6,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
33,813,14,3,1,325,3,58,3,1,4,2436,5,13,80,1,8,2,1,5,0,4,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
43,1034,16,3,1,327,4,80,3,4,4,16064,5,22,80,1,22,3,3,17,1,9,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
33,465,2,2,1,328,1,39,3,1,1,2707,7,20,80,0,13,3,4,9,1,7,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
52,771,2,4,1,329,1,79,2,5,3,19068,1,18,80,0,33,2,4,33,15,12,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
32,1401,4,2,1,330,3,56,3,1,2,3931,2,11,80,1,6,5,3,4,1,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
32,515,1,3,1,331,4,62,2,1,3,3730,0,14,80,0,4,2,1,3,1,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
39,1431,1,4,1,332,3,96,3,1,3,2232,7,14,80,3,7,1,3,3,1,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
32,976,26,4,1,333,3,100,3,2,4,4465,0,18,80,0,4,2,3,3,2,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
41,1411,19,2,1,334,3,36,3,2,1,3072,2,16,80,2,17,2,2,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
40,1300,24,2,1,335,1,62,3,2,4,3319,1,17,80,2,9,3,3,9,4,7,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
45,252,1,3,1,336,3,70,4,5,4,19202,0,11,80,1,25,2,3,24,1,7,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
31,1327,3,4,1,337,2,73,3,3,3,13675,9,12,80,1,9,3,3,2,2,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
33,832,5,4,1,338,3,63,2,1,4,2911,1,13,80,1,2,2,2,2,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
34,470,2,4,1,339,4,84,2,2,1,5957,6,13,80,1,13,3,3,11,5,9,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
37,1017,1,2,1,340,3,83,2,1,1,3920,2,14,80,1,17,2,2,3,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
45,1199,7,4,1,341,1,77,4,2,3,6434,4,17,80,1,9,1,3,3,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
37,504,10,3,1,342,1,61,3,3,3,10048,6,11,80,2,17,5,3,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
39,505,2,4,1,343,3,64,3,3,3,10938,0,25,80,0,20,1,3,19,11,8,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
29,665,15,3,1,346,3,60,3,1,4,2340,1,19,80,0,6,1,3,6,1,5,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
42,916,17,2,1,347,4,82,4,2,1,6545,3,13,80,0,10,1,3,3,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
29,1247,20,2,1,349,4,45,3,2,4,6931,2,14,80,1,10,2,3,3,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
25,685,1,3,1,350,1,62,3,2,3,4898,0,12,80,2,5,3,3,4,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
42,269,2,3,1,351,4,56,2,1,1,2593,0,11,80,1,10,4,3,9,7,8,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
40,1416,2,2,1,352,1,49,3,5,3,19436,0,19,80,1,22,5,3,21,3,9,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
51,833,1,3,1,353,3,96,3,1,4,2723,1,11,80,0,1,0,2,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
31,307,29,2,1,355,3,71,2,1,2,3479,0,11,80,0,6,2,4,5,1,4,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
32,1311,7,3,1,359,2,100,4,1,2,2794,1,20,80,0,5,3,1,5,0,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
38,1327,2,2,1,361,4,39,2,2,4,5249,3,18,80,1,13,0,3,8,7,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
32,128,2,1,1,362,4,84,2,2,1,2176,4,13,80,0,9,5,3,6,0,4,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
46,488,2,3,1,363,3,75,1,4,2,16872,3,12,80,1,28,2,2,7,7,7,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
28,529,2,4,1,364,1,79,3,1,3,3485,2,11,80,0,5,5,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
29,1210,2,3,1,366,1,78,2,2,2,6644,2,19,80,2,10,2,3,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
31,1463,23,3,1,367,2,64,2,2,4,5582,0,21,80,1,10,2,3,9,7,8,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
25,675,5,2,1,369,2,85,4,2,1,4000,1,12,80,2,6,2,3,6,1,5,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
45,1385,20,2,1,372,3,79,3,4,4,13496,0,14,80,0,21,2,3,20,4,10,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
36,1403,6,3,1,373,4,47,3,1,4,3210,0,11,80,1,16,4,3,15,10,11,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
55,452,1,3,1,374,4,81,3,5,1,19045,0,14,80,0,37,2,3,36,4,13,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
47,666,29,4,1,376,1,88,3,3,2,11849,1,12,80,1,10,2,2,10,9,9,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
28,1158,9,3,1,377,4,94,3,1,4,2070,1,23,80,1,5,3,2,5,0,4,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
37,228,6,4,1,378,3,98,3,2,4,6502,4,14,80,1,7,5,4,5,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
21,996,3,2,1,379,4,100,2,1,3,3230,1,17,80,0,3,4,4,3,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
37,728,1,4,1,380,1,80,3,3,4,13603,2,18,80,2,15,2,3,5,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
35,1315,22,3,1,381,2,71,4,3,2,11996,7,18,80,1,10,6,2,7,6,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
38,322,7,2,1,382,1,44,4,2,1,5605,1,24,80,1,8,3,3,8,7,7,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
26,1479,1,3,1,384,3,84,3,2,2,6397,1,20,80,1,6,6,1,6,1,4,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
50,797,4,1,1,385,1,96,3,5,2,19144,3,14,80,2,28,4,2,10,1,6,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
53,1070,3,4,1,386,3,45,3,4,3,17584,3,16,80,3,21,5,2,5,1,3,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
42,635,1,1,1,387,2,99,3,2,3,4907,1,25,80,0,20,3,3,20,11,6,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
29,442,2,2,1,388,2,44,3,2,4,4554,1,18,80,0,10,3,2,10,0,9,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
55,147,20,2,1,389,2,37,3,2,4,5415,3,19,80,1,12,4,3,10,0,8,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
26,496,11,2,1,390,1,60,3,2,1,4741,1,13,80,1,5,3,3,5,3,3,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
37,1372,1,3,1,391,4,42,3,1,4,2115,1,12,80,0,17,3,3,17,5,7,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
44,920,24,3,1,392,4,43,3,1,3,3161,3,22,80,1,19,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
38,688,23,4,1,393,4,82,3,2,4,5745,9,14,80,1,10,2,3,2,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
26,1449,16,4,1,394,1,45,3,1,2,2373,2,13,80,1,5,2,3,3,0,2,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
28,1117,8,2,1,395,4,66,3,1,4,3310,1,21,80,0,5,3,3,5,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
49,636,10,4,1,396,3,35,3,5,1,18665,9,11,80,0,22,4,3,3,1,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
36,506,3,3,1,397,3,30,3,2,2,4485,4,12,80,0,10,2,3,8,7,7,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
31,444,5,3,1,399,4,84,3,1,2,2789,1,11,80,1,2,5,2,2,2,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
26,950,4,4,1,401,4,48,2,2,4,5828,1,12,80,0,8,0,3,8,7,4,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
37,889,9,3,1,403,2,53,3,1,4,2326,1,12,80,3,4,3,2,4,1,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
42,555,26,3,1,404,3,77,3,4,2,13525,5,14,80,1,23,2,4,20,4,8,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
18,230,3,3,1,405,3,54,3,1,3,1420,1,13,80,0,0,2,3,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
